2022-07-28 16:48:46 INFO [2828:main.c:18] hello,  -- info
2022-07-28 17:24:16 DEBUG [3116:main.c:21] hello, sys --debug
2022-07-28 17:24:16 WARN [3116:main.c:22] hello, sys --warn
2022-07-28 17:24:16 ERROR [3116:main.c:23] hello, sys --error
2022-07-28 17:24:16 PANIC [3116:main.c:24] hello, sys --panic
2022-07-28 17:24:17 INFO [3119:main.c:20] hello, sys --info
2022-07-28 17:24:17 DEBUG [3119:main.c:21] hello, sys --debug
2022-07-28 17:24:17 WARN [3119:main.c:22] hello, sys --warn
2022-07-28 17:24:17 ERROR [3119:main.c:23] hello, sys --error
2022-07-28 17:24:17 PANIC [3119:main.c:24] hello, sys --panic
2022-07-28 17:24:18 INFO [3122:main.c:20] hello, sys --info
2022-07-28 17:24:18 DEBUG [3122:main.c:21] hello, sys --debug
2022-07-28 17:24:18 WARN [3122:main.c:22] hello, sys --warn
2022-07-28 17:24:18 ERROR [3122:main.c:23] hello, sys --error
2022-07-28 17:24:18 PANIC [3122:main.c:24] hello, sys --panic
2022-07-28 17:24:19 INFO [3125:main.c:20] hello, sys --info
2022-07-28 17:24:19 DEBUG [3125:main.c:21] hello, sys --debug
2022-07-28 17:24:19 WARN [3125:main.c:22] hello, sys --warn
2022-07-28 17:24:19 ERROR [3125:main.c:23] hello, sys --error
2022-07-28 17:24:19 PANIC [3125:main.c:24] hello, sys --panic
2022-07-28 17:24:20 INFO [3128:main.c:20] hello, sys --info
2022-07-28 17:24:20 DEBUG [3128:main.c:21] hello, sys --debug
2022-07-28 17:24:20 WARN [3128:main.c:22] hello, sys --warn
2022-07-28 17:24:20 ERROR [3128:main.c:23] hello, sys --error
2022-07-28 17:24:20 PANIC [3128:main.c:24] hello, sys --panic
2022-07-28 17:24:21 INFO [3131:main.c:20] hello, sys --info
2022-07-28 17:24:21 DEBUG [3131:main.c:21] hello, sys --debug
2022-07-28 17:24:21 WARN [3131:main.c:22] hello, sys --warn
2022-07-28 17:24:21 ERROR [3131:main.c:23] hello, sys --error
2022-07-28 17:24:21 PANIC [3131:main.c:24] hello, sys --panic
2022-07-28 17:24:22 INFO [3134:main.c:20] hello, sys --info
2022-07-28 17:24:22 DEBUG [3134:main.c:21] hello, sys --debug
2022-07-28 17:24:22 WARN [3134:main.c:22] hello, sys --warn
2022-07-28 17:24:22 ERROR [3134:main.c:23] hello, sys --error
2022-07-28 17:24:22 PANIC [3134:main.c:24] hello, sys --panic
2022-07-28 17:24:23 INFO [3137:main.c:20] hello, sys --info
2022-07-28 17:24:23 DEBUG [3137:main.c:21] hello, sys --debug
2022-07-28 17:24:23 WARN [3137:main.c:22] hello, sys --warn
2022-07-28 17:24:23 ERROR [3137:main.c:23] hello, sys --error
2022-07-28 17:24:23 PANIC [3137:main.c:24] hello, sys --panic
2022-07-28 17:24:24 INFO [3140:main.c:20] hello, sys --info
2022-07-28 17:24:24 DEBUG [3140:main.c:21] hello, sys --debug
2022-07-28 17:24:24 WARN [3140:main.c:22] hello, sys --warn
2022-07-28 17:24:24 ERROR [3140:main.c:23] hello, sys --error
2022-07-28 17:24:24 PANIC [3140:main.c:24] hello, sys --panic
2022-07-28 17:24:25 INFO [3143:main.c:20] hello, sys --info
2022-07-28 17:24:25 DEBUG [3143:main.c:21] hello, sys --debug
2022-07-28 17:24:25 WARN [3143:main.c:22] hello, sys --warn
2022-07-28 17:24:25 ERROR [3143:main.c:23] hello, sys --error
2022-07-28 17:24:25 PANIC [3143:main.c:24] hello, sys --panic
2022-07-28 17:24:26 INFO [3146:main.c:20] hello, sys --info
2022-07-28 17:24:26 DEBUG [3146:main.c:21] hello, sys --debug
2022-07-28 17:24:26 WARN [3146:main.c:22] hello, sys --warn
2022-07-28 17:24:26 ERROR [3146:main.c:23] hello, sys --error
2022-07-28 17:24:26 PANIC [3146:main.c:24] hello, sys --panic
2022-07-28 17:24:27 INFO [3149:main.c:20] hello, sys --info
2022-07-28 17:24:27 DEBUG [3149:main.c:21] hello, sys --debug
2022-07-28 17:24:27 WARN [3149:main.c:22] hello, sys --warn
2022-07-28 17:24:27 ERROR [3149:main.c:23] hello, sys --error
2022-07-28 17:24:27 PANIC [3149:main.c:24] hello, sys --panic
2022-07-28 17:24:28 INFO [3152:main.c:20] hello, sys --info
2022-07-28 17:24:28 DEBUG [3152:main.c:21] hello, sys --debug
2022-07-28 17:24:28 WARN [3152:main.c:22] hello, sys --warn
2022-07-28 17:24:28 ERROR [3152:main.c:23] hello, sys --error
2022-07-28 17:24:28 PANIC [3152:main.c:24] hello, sys --panic
2022-07-28 17:24:29 INFO [3155:main.c:20] hello, sys --info
2022-07-28 17:24:29 DEBUG [3155:main.c:21] hello, sys --debug
2022-07-28 17:24:29 WARN [3155:main.c:22] hello, sys --warn
2022-07-28 17:24:29 ERROR [3155:main.c:23] hello, sys --error
2022-07-28 17:24:29 PANIC [3155:main.c:24] hello, sys --panic
2022-07-28 17:24:30 INFO [3158:main.c:20] hello, sys --info
2022-07-28 17:24:30 DEBUG [3158:main.c:21] hello, sys --debug
2022-07-28 17:24:30 WARN [3158:main.c:22] hello, sys --warn
2022-07-28 17:24:30 ERROR [3158:main.c:23] hello, sys --error
2022-07-28 17:24:30 PANIC [3158:main.c:24] hello, sys --panic
2022-07-28 17:24:31 INFO [3161:main.c:20] hello, sys --info
2022-07-28 17:24:31 DEBUG [3161:main.c:21] hello, sys --debug
2022-07-28 17:24:31 WARN [3161:main.c:22] hello, sys --warn
2022-07-28 17:24:31 ERROR [3161:main.c:23] hello, sys --error
2022-07-28 17:24:31 PANIC [3161:main.c:24] hello, sys --panic
2022-07-28 17:24:32 INFO [3164:main.c:20] hello, sys --info
2022-07-28 17:24:32 DEBUG [3164:main.c:21] hello, sys --debug
2022-07-28 17:24:32 WARN [3164:main.c:22] hello, sys --warn
2022-07-28 17:24:32 ERROR [3164:main.c:23] hello, sys --error
2022-07-28 17:24:32 PANIC [3164:main.c:24] hello, sys --panic
2022-07-28 17:24:33 INFO [3167:main.c:20] hello, sys --info
2022-07-28 17:24:33 DEBUG [3167:main.c:21] hello, sys --debug
2022-07-28 17:24:33 WARN [3167:main.c:22] hello, sys --warn
2022-07-28 17:24:33 ERROR [3167:main.c:23] hello, sys --error
2022-07-28 17:24:33 PANIC [3167:main.c:24] hello, sys --panic
2022-07-28 17:24:34 INFO [3170:main.c:20] hello, sys --info
2022-07-28 17:24:34 DEBUG [3170:main.c:21] hello, sys --debug
2022-07-28 17:24:34 WARN [3170:main.c:22] hello, sys --warn
2022-07-28 17:24:34 ERROR [3170:main.c:23] hello, sys --error
2022-07-28 17:24:34 PANIC [3170:main.c:24] hello, sys --panic
2022-07-28 17:24:35 INFO [3173:main.c:20] hello, sys --info
2022-07-28 17:24:35 DEBUG [3173:main.c:21] hello, sys --debug
2022-07-28 17:24:35 WARN [3173:main.c:22] hello, sys --warn
2022-07-28 17:24:35 ERROR [3173:main.c:23] hello, sys --error
2022-07-28 17:24:35 PANIC [3173:main.c:24] hello, sys --panic
2022-07-28 17:24:36 INFO [3176:main.c:20] hello, sys --info
2022-07-28 17:24:36 DEBUG [3176:main.c:21] hello, sys --debug
2022-07-28 17:24:36 WARN [3176:main.c:22] hello, sys --warn
2022-07-28 17:24:36 ERROR [3176:main.c:23] hello, sys --error
2022-07-28 17:24:36 PANIC [3176:main.c:24] hello, sys --panic
2022-07-28 17:24:37 INFO [3179:main.c:20] hello, sys --info
2022-07-28 17:24:37 DEBUG [3179:main.c:21] hello, sys --debug
2022-07-28 17:24:37 WARN [3179:main.c:22] hello, sys --warn
2022-07-28 17:24:37 ERROR [3179:main.c:23] hello, sys --error
2022-07-28 17:24:37 PANIC [3179:main.c:24] hello, sys --panic
2022-07-28 17:24:38 INFO [3182:main.c:20] hello, sys --info
2022-07-28 17:24:38 DEBUG [3182:main.c:21] hello, sys --debug
2022-07-28 17:24:38 WARN [3182:main.c:22] hello, sys --warn
2022-07-28 17:24:38 ERROR [3182:main.c:23] hello, sys --error
2022-07-28 17:24:38 PANIC [3182:main.c:24] hello, sys --panic
2022-07-28 17:24:39 INFO [3185:main.c:20] hello, sys --info
2022-07-28 17:24:39 DEBUG [3185:main.c:21] hello, sys --debug
2022-07-28 17:24:39 WARN [3185:main.c:22] hello, sys --warn
2022-07-28 17:24:39 ERROR [3185:main.c:23] hello, sys --error
2022-07-28 17:24:39 PANIC [3185:main.c:24] hello, sys --panic
2022-07-28 17:24:40 INFO [3188:main.c:20] hello, sys --info
2022-07-28 17:24:40 DEBUG [3188:main.c:21] hello, sys --debug
2022-07-28 17:24:40 WARN [3188:main.c:22] hello, sys --warn
2022-07-28 17:24:40 ERROR [3188:main.c:23] hello, sys --error
2022-07-28 17:24:40 PANIC [3188:main.c:24] hello, sys --panic
2022-07-28 17:24:41 INFO [3198:main.c:20] hello, sys --info
2022-07-28 17:24:41 DEBUG [3198:main.c:21] hello, sys --debug
2022-07-28 17:24:41 WARN [3198:main.c:22] hello, sys --warn
2022-07-28 17:24:41 ERROR [3198:main.c:23] hello, sys --error
2022-07-28 17:24:41 PANIC [3198:main.c:24] hello, sys --panic
2022-07-28 17:24:42 INFO [3201:main.c:20] hello, sys --info
2022-07-28 17:24:42 DEBUG [3201:main.c:21] hello, sys --debug
2022-07-28 17:24:42 WARN [3201:main.c:22] hello, sys --warn
2022-07-28 17:24:42 ERROR [3201:main.c:23] hello, sys --error
2022-07-28 17:24:42 PANIC [3201:main.c:24] hello, sys --panic
2022-07-28 17:24:43 INFO [3204:main.c:20] hello, sys --info
2022-07-28 17:24:43 DEBUG [3204:main.c:21] hello, sys --debug
2022-07-28 17:24:43 WARN [3204:main.c:22] hello, sys --warn
2022-07-28 17:24:43 ERROR [3204:main.c:23] hello, sys --error
2022-07-28 17:24:43 PANIC [3204:main.c:24] hello, sys --panic
2022-07-28 17:24:44 INFO [3207:main.c:20] hello, sys --info
2022-07-28 17:24:44 DEBUG [3207:main.c:21] hello, sys --debug
2022-07-28 17:24:44 WARN [3207:main.c:22] hello, sys --warn
2022-07-28 17:24:44 ERROR [3207:main.c:23] hello, sys --error
2022-07-28 17:24:44 PANIC [3207:main.c:24] hello, sys --panic
2022-07-28 17:24:45 INFO [3216:main.c:20] hello, sys --info
2022-07-28 17:24:45 DEBUG [3216:main.c:21] hello, sys --debug
2022-07-28 17:24:45 WARN [3216:main.c:22] hello, sys --warn
2022-07-28 17:24:45 ERROR [3216:main.c:23] hello, sys --error
2022-07-28 17:24:45 PANIC [3216:main.c:24] hello, sys --panic
2022-07-28 17:24:46 INFO [3219:main.c:20] hello, sys --info
2022-07-28 17:24:46 DEBUG [3219:main.c:21] hello, sys --debug
2022-07-28 17:24:46 WARN [3219:main.c:22] hello, sys --warn
2022-07-28 17:24:46 ERROR [3219:main.c:23] hello, sys --error
2022-07-28 17:24:46 PANIC [3219:main.c:24] hello, sys --panic
2022-07-28 17:24:47 INFO [3222:main.c:20] hello, sys --info
2022-07-28 17:24:47 DEBUG [3222:main.c:21] hello, sys --debug
2022-07-28 17:24:47 WARN [3222:main.c:22] hello, sys --warn
2022-07-28 17:24:47 ERROR [3222:main.c:23] hello, sys --error
